items_id,asks-for,p_contents_eng,a1_contents_eng,a2_contents_eng,correct_answers,p_contents_kz,a1_contents_kz,a2_contents_kz
648,cause,The couple left early for the show.,They anticipated traffic around the theatre.,They got directions to the theatre.,1,Ерлі-зайыптылар шоу үшін ерте кетті.,Олар театрдағы трафикті күтеді.,Олар театрға бағыт алды.
649,effect,The woman stayed home from work.,Her boss praised her.,Her coworker covered for her.,2,Әйел жұмыстан үйде қалды.,Оның бастығы оны мақтады.,Оның әріптесі оны жауып тастады.
650,cause,The man signed the activists' petition.,He supported their cause.,He denounced them as crazy.,1,Ер адам белсенділердің өтінішіге қол қойды.,Ол олардың себептерін қолдады.,Ол оларды ақылсыз деп айыптады.
651,cause,The actor's heart was fluttering before his performance.,He had stage fright.,He memorized his lines.,1,Актерлердің жүрегі оның қойылғанға дейін дірілдеді.,Оның сахнасы қорқынышты болды.,Ол өз жолдарын жаттап алды.
652,effect,I was lost.,I counted my cash.,I unfolded a map.,2,Мен адасып қалдым.,Мен қолма-қол ақшамды санадым.,Мен картаны аштым.
653,effect,The ripe fruit lingered in the sun.,It was eaten.,It shriveled up.,2,Піскен жемістер күн сәулесінде.,Ол жеді.,Ол азаяды.
654,cause,The car broke down.,I turned the ignition.,The engine overheated.,2,Көлік бұзылды.,Мен тұтандым.,Қозғалтқыш қатты қызып кетті.
655,effect,The man hurt his back.,He went to see a psychiatrist.,He stayed in bed for several days.,2,Ер адам өзінің арқасын ренжітті.,Ол психиатрды көруге кетті.,Ол бірнеше күн төсекте қалды.
656,cause,I started a fire in the fireplace.,I was out of firewood.,It was cold in the house.,2,Мен каминде отты бастадым.,Мен отыннан шықтым.,Үйде суық болды.
657,cause,The woman stopped jogging.,She got a cramp in her side.,She got a second wind.,1,Әйел жүгіруді доғарды.,Оның жағында қысылды.,Ол екінші жел алды.
658,effect,I knocked on my neighbor's door.,My neighbor invited me in.,My neighbor left her house.,1,Мен көршімнің есігін қағып жібердім.,Менің көршім мені шақырды.,Менің көршім үйінен кетті.
659,cause,The woman sighed with frustration.,Her husband misunderstood her concerns.,Her husband kissed her goodbye.,1,Әйел ашуланшақпен күрсін.,Күйеуі оның алаңдаушылығын түсінбеді.,Күйеуі қоштасуын сүйді.
660,cause,The teacher commended the student.,The student answered the question correctly.,The student hesitated to answer the question.,1,Мұғалім оқушыны мақтады.,Студент сұраққа дұрыс жауап берді.,Студент сұраққа жауап беруге тартынды.
661,effect,The woman ran out of eggs.,She went to the farm.,She went to the supermarket.,2,Әйел жұмыртқадан шыққан.,Ол фермаға барды.,Ол супермаркетке барды.
662,effect,I encountered an old friend.,I revealed a secret to him.,I gave him a hug.,2,Мен ескі досыммен кездестім.,Мен оның құпиясын аштым.,Мен оған құшақтадым.
663,cause,The woman avoided going in the lake.,She caught a fish.,It looked contaminated.,2,Әйел көшеге шығуға жолданды.,Ол балық аулады.,Ол ластанған көрінді.
664,cause,The student arrived to class soaking wet.,His umbrella was broken.,His bike was stolen.,1,Студент дымқыл малынған сыныпқа келді.,Оның қолшатыры сынған.,Оның велосипесі ұрланған.
665,cause,The cursor on the computer screen moved.,The user clicked the mouse.,The user shifted the mouse.,2,Компьютер экранындағы курсор жылжиды.,Пайдаланушы тінтуірді басқан.,Пайдаланушы тінтуірді етті.
666,cause,The driver took a detour.,An accident occurred on the main road.,She followed the truck in front of her.,1,Жүргізуші айналма жолды алды.,Жол апаты басты жолда болды.,Ол оның алдында жүк көлігін ұстанды.
667,effect,I hung the wet linen on the outdoor clothesline.,The linen dried.,The linen stained.,1,Мен дымқыл шүберектерді ашық киім сызығында іліп қойдым.,Зығырдан кептірілген.,Зығыр боялған.
668,cause,The woman put on her shades.,The sunlight was bright.,She hailed a cab.,1,Әйел реңктерін қойды.,Күн сәулесі жарқын болды.,Ол кабинаны бағып тастады.
669,cause,The man gazed at the night sky.,He wished it were summer.,He thought it was beautiful.,2,Ер адам түнгі аспанда қарады.,Ол бұл жаз еді.,Ол әдемі деп ойлады.
670,effect,I felt exhausted.,I went to bed early.,I stayed up all night.,1,Мен шаршадым.,Мен ерте ұйықтадым.,Мен түні бойы тұрдым.
671,cause,The man went to the barber.,He was growing out his hair.,His hair was getting long.,2,Ер адам шаштаразға кетті.,Ол шашын өсірді.,Оның шашы ұзаққа созылды.
672,cause,The boy played mean tricks on his new classmate.,The boy welcomed the new classmate.,The boy disliked the new classmate.,2,Бала өзінің жаңа сыныптастарында ойнады.,Бала жаңа сыныптастарын қарсы алды.,Бала жаңа сыныптастарын ұнатпады.
673,cause,I craved a glass of milk.,I was eating cookies.,I was baking bread.,1,Мен бір стақан сүтке құмармын.,Мен печенье жедім.,Мен нан пісірдім.
674,effect,It began to rain.,The driver turned on the headlights.,The driver shifted the car into reverse.,1,Жаңбыр жауа бастады.,Жүргізуші фараларды аударды.,Жүргізуші көлікті кері қарай етті.
675,effect,The parking lot of the building was empty.,I parked across the street.,I parked near the entrance.,2,Ғимараттың тұрағы бос болды.,Мен көшеде тұрдым.,Мен кіреберістің жанында тұрдым.
676,cause,The writer missed her deadline for the draft submission.,She had writer's block.,She edited the draft.,1,Жазушы жобаны ұсыну мерзімін жіберіп алды.,Оның жазушы блогы болды.,Ол жобаны өңдеді.
677,cause,The associate hung up on me.,I asked to speak to a supervisor.,I provided my identification number.,1,Ассоциация маған ілінген.,Мен супервайзермен сөйлесуді өтіндім.,Мен сәйкестендіру нөмірімді ұсындым.
678,effect,The wind blew through the open window.,The doorbell rang.,The curtains shuddered.,2,Жел ашық терезені жарып жіберді.,Есік қоңырауы.,Перделер дірілдеді.
679,cause,The electricity in my house shut off.,I unplugged the lamp.,I blew a fuse.,2,Менің үйімдегі электр қуаты өшеді.,Мен шамды ажыратып жібердім.,Мен сақтандырғышты жарып жіберемін.
680,cause,The weightlifter grunted.,He flexed his muscles in the mirror.,He lifted the bar over his head.,2,Ауыр атлет болды.,Ол бұлшық еттерін айнаға итермеледі.,Ол жолақты басына көтерді.
681,effect,The student tried to do the math in his head.,He got out a calculator.,He got confused.,2,Студент математиканы оның басына жасауға тырысты.,Ол калькулятордан шықты.,Ол шатастырды.
682,cause,The baby fell asleep.,The father changed the baby's diaper.,The father gently rocked the baby.,2,Нәресте ұйықтап қалды.,Әкем баланың жөргегін өзгертті.,Әкесі нәресте ақырын шайқады.
683,effect,The girl threw the water balloon at the boy.,The boy got a concussion.,The boy got soaked.,2,Қыз баланың су шарын лақтырып жіберді.,Бала жеңді.,Бала малынған.
684,effect,The photographer forgot to use the flash on the camera.,The photos turned out blurry.,Everyone in the photos refused to smile.,1,Фотограф Камерада жарқылды пайдалануды ұмытып кетті.,Фотосуреттер бұлыңғыр болды.,Суреттердегі барлық адамдар күлуден бас тартты.
685,cause,I declined the invitation to the birthday party.,I was lonely.,I was out of town.,2,Мен туған күн кешіне шақырудан бас тарттым.,Мен жалғызбын.,Мен қаладан тыс қалдым.
686,cause,I exercised.,I felt energetic.,I was scared.,1,Мен жаттығу жасадым.,Мен жігерлі сезіндім.,Мен қорқып кеттім.
687,effect,I squeezed the damp sponge.,It soaked up water.,Water seeped out of it.,2,Мен дымқыл губканы сығып алдым.,Ол суды малынған.,Судың ішінде су қойылды.
688,cause,The vacationers took a ferry to the resort.,The resort was booked.,The resort was on an island.,2,Демалушылар курорттарға паром алды.,Курорт броньдалған.,Курорт аралда болды.
689,cause,The teenager got a tattoo.,She was afraid of needles.,She wanted to rebel.,2,Жасөспірім татуировкасы бар.,Ол инелерден қорықты.,Ол бүлік шығарғысы келді.
690,effect,An unfamiliar car parked outside my house.,I became suspicious.,I called the police.,1,Менің үйімнің сыртында бейтаныс көлік тұрғызылған.,Мен күдікті болдым.,Мен полиция шақырдым.
691,cause,The criminal turned himself in.,The evidence implicated him., There was no evidence against him.,1,Қылмыскер өзі бұрылды.,Дәлел оны бұйырды.,Оған ешқандай дәлел болған жоқ.
692,effect,The heavyset man decided to lose weight.,He cut out sweets.,He avoided caffeine.,1,Сөйлдік адам салмақ тастауға шешім қабылдады.,Ол кәмпиттерді кесіп тастады.,Ол кофеинді болдырмады.
693,effect,The girl stepped on the ice.,She slid.,She shivered.,1,Қыз мұзға шықты.,Ол сырғып кетті.,Ол дірілдеді.
694,cause,The woman had rings under her eyes.,She stayed up all night.,She put her son to bed.,1,Әйел оның көзінің астында шырылдады.,Ол түні бойы тұрды.,Ол баласын төсекке қояды.
695,cause,Lava flowed from the volcano.,The volcano erupted.,The volcano was dormant.,1,Лава вулканнан ағылды.,Жанартау пайда болды.,Жанартау ұйқысыз болды.
696,cause,The woman put her shoes on.,She knew everyone at the party.,She wanted to leave the party.,2,Әйел аяқ киімін қойды.,Ол кеште барлығын білді.,Ол кештен кеткісі келді.
697,effect,I paid the tollbooth attendant.,She let me pass through the tollbooth.,She detained me at the tollbooth.,1,Мен Толлбоотқа қызмет көрсеттім.,Ол маған Толлботта өтуге рұқсат берді.,Ол мені Толлботта ұстады.
698,cause,The executive went bankrupt.,He sold his company stock.,He squandered his fortune.,2,Атқарушы банкротқа ұшырады.,Ол өзінің компания акцияларын сатты.,Ол өзінің байлығын ысырап еткен.
699,cause,The man went to the doctor.,The doctor was on leave.,The man felt ill.,2,Ер адам дәрігерге барды.,Дәрігер демалыста болды.,Ер адам ауыртты.
700,cause,I exited my bedroom through the window.,The house was on fire.,The house was empty.,1,Мен жатын бөлмемнен терезеден шықтым.,Үй өртенді.,Үй бос болды.
701,cause,The boy's fingers became pruny.,He took a long shower.,He lathered his hands with soap.,1,Бала саусақтары алдын ала болды.,Ол ұзақ душ қабылдады.,Ол қолдарын сабынмен көміп тастады.
702,cause,I spit out the milk.,The milk tasted sour.,My mouth was dry.,1,Мен сүт түкірдім.,Сүт қышқыл дәмді.,Менің аузым құрғақ болды.
703,effect,I missed the bus.,I was early to work.,I was late to work.,2,Мен автобусқа кешігіп қалдым.,Мен ерте жұмыс істедім.,Мен жұмысқа кешігіп келдім.
704,effect,The truck collided with the car.,The truck sped up.,The car got smashed.,2,Жүк көлігі көлікпен соқтығысқан.,Жүк көлігі жанып кетті.,Көлік ұрылды.
705,effect,The team rigged the contest in their favor.,They won., They dropped out.,1,Команда конкурсқа өз пайдасына келді.,Олар жеңді.,Олар тастады.
706,cause,The soda bottle hissed.,I turned over the bottle.,I twisted off the cap.,2,Сода бөтелкесі қатты шықты.,Мен бөтелкені бұрдым.,Мен қақпақты бұрап алдым.
707,effect,The boy was locked out of his house.,He crawled in through an open window.,He climbed up to the roof.,1,Бала үйінен құлыпталған.,Ол ашық терезе арқылы жүрді.,Ол шатырға көтерілді.
708,effect,The doorbell rang.,The visitor tapped the knocker on the door.,The woman peered through the keyhole in the door.,2,Есік қоңырауы.,Келуші есікке тигізді.,Әйел есіктің кілттері арқылы қарады.
709,effect,The man stained his suit.,He got it dry-cleaned.,He hung it in his closet.,1,Ер адам өзінің костюмін қағып кетті.,Ол оны құрғақ тазартады.,Ол оны шкафта іліп қойды.
710,effect,The girl squeezed the tube of toothpaste.,The toothpaste squirted out of the tube.,The girl spit out the toothpaste.,1,Қыз тіс пастасының түтікшесін сығып алды.,Тіс пастасы түтіктен шығарылды.,Қыз тіс пастасын түкірді.
711,effect,Civilian deaths from the war surged.,Pacifists staged a protest.,Pacifists held a parade.,1,Соғыстан азаматтық өлім.,Пафистер наразылық қойды.,Пафифтер шеру өткізді.
712,cause,The girl yanked the ribbon out of her hair.,She tied the ribbon.,The ribbon looked babyish.,2,Қыздың шашынан шыққан лентаны иті.,Ол таспаны байлады.,Таспа балабақша көрінді.
713,effect,The man got plastic surgery.,He aged.,He looked younger.,2,Ер адам пластикалық ота жасады.,Ол қартайған.,Ол жас көрінді.
714,cause,A baby chicken emerged from the egg.,The egg hatched.,I cracked the egg.,1,Нәрестелік тауық жұмыртқадан пайда болды.,Жұмыртқа лақтырылды.,Мен жұмыртқаны сындырдым.
715,effect,The prisoner starved.,He died.,He fled.,1,Тұтқыншақ аштық.,Ол өлді.,Ол қашып кетті.
716,effect,The man lost his balance on the ladder.,He climbed up the ladder.,He fell off the ladder.,2,Ер адам баспалдаққа теңгерімді жоғалтты.,Ол баспалдаққа көтерілді.,Ол баспалдақпен құлады.
717,cause,The child burped.,He took a swig of soda.,He opened the soda can.,1,Бала жерленді.,Ол сода свитерін алды.,Ол сода ашты.
718,effect,A cold draft came in through the window.,I relaxed.,I shivered.,2,Терме жоба терезе арқылы келді.,Мен босаңсым.,Мен дірілдедім.
719,cause,The student received a scholarship to go to college.,Her classmates respected her.,She made good grades.,2,Студент колледжге бару үшін стипендия алды.,Оның сыныптастары оны құрметтеді.,Ол жақсы бағалар жасады.
720,cause,The girl poked fun at the boy.,She lived next door to him.,She had a crush on him.,2,Қыз ұлға көңіл көтерді.,Оған келесі есік тұрды.,Ол оған қирады.
721,cause,The hungry vagrant stole food.,He incited pity.,He had no money.,2,Аш вагонант тамақ ұрлады.,Ол аяушылыққа ұшырады.,Оның ақшасы жоқ еді.
722,cause,I called my friend to chat.,I wanted privacy.,I felt lonely.,2,Мен досымды сөйлесуге шақырдым.,Мен құпиялылық тіледім.,Мен өзімді жалғыз сезіндім.
723,effect,The man extended his hand to me.,I shook his hand.,I slapped him.,1,Ер адам маған қолын созды.,Мен оның қолын сілкіп жібердім.,Мен оны ұрдым.
724,cause,I ducked.,The fireworks launched up in the air.,The frisbee soared towards my head.,2,Мен үйрек.,Отшашулар ауада іске қосылды.,Фризби менің басыма қарай көтерілді.
725,cause,The girl bit her nails.,She was worried.,She was surprised.,1,Қыз оның тырнақтарын біртіндеп.,Ол алаңдады.,Ол таң қалды.
726,cause,I turned the page on the calendar.,I marked an appointment on the calendar.,It was the beginning of a new month.,2,Мен бетті күнтізбеде бұрдым.,Мен күнтізбеде кездесуді белгіледім.,Бұл жаңа айдың басталуы болды.
727,effect,The husband discovered that his wife was having an affair.,He fired his lawyer.,He filed for divorce.,2,Күйеуі әйелінің ісі екенін білді.,Ол өзінің адвокатын атып тастады.,Ол ажырасу туралы өтініш берді.
728,effect,The girl dropped the rubber ball.,The ball bounced.,The ball glowed.,1,Қыз резеңке допты тастады.,Доп бұрылды.,Шар жарқырады.
729,effect,The girl made a mistake on her exam.,She guessed at the answer.,She erased her answer.,2,Қыз оның емтиханына қателік жіберді.,Ол жауапқа тап болды.,Ол оның жауабын өшірді.
730,effect,The player tackled his opponent.,His opponent caught the pass.,His opponent hit the ground.,2,Ойыншы қарсыласын шешті.,Оның қарсыласы өтуді ұстап алды.,Оның қарсыласы жерге тиді.
731,cause,I picked the tomatoes from the vine.,They were ripe.,I watered them.,1,Мен қызанақты жүзімнен таңдадым.,Олар піскен еді.,Мен оларды суардым.
732,effect,The man wanted to act romantic.,He met his ex-girlfriend for lunch.,He bought his girlfriend chocolates.,2,Ер адам романтикалық әрекет еткісі келді.,Ол өзінің бұрынғы қызымен түскі асқа қарсы алды.,Ол өзінің қызына шоколад сатып алды.
733,cause,The mercury in the thermometer rose.,I dropped the thermometer.,The weather got warmer.,2,Термометрдегі сынап көтерілді.,Мен термометрді тастадым.,Ауа-райы жылы болды.
734,effect,A tornado came through the town.,The roof of the courthouse blew off.,The highway became dangerously icy.,1,Торнадо қаладан келді.,Сот ғимаратының төбесі жарылды.,Тас жол қауіпті мұзды болды.
735,effect,The student received tutoring.,His grades improved.,He cheated on the exam.,1,Студент репетиция алды.,Оның бағалары жақсарды.,Емтиханды алдады.
736,cause,I felt comfortable.,I kneeled down on the ground.,I wrapped myself in a blanket.,2,Мен өзімді жайлы сезіндім.,Мен жердегі тізе бүктемін.,Мен өзімді көрпе оралдым.
737,effect,I polished the stone.,It became slippery.,It became shiny.,2,Мен тастамды.,Ол тайғақ болды.,Ол жылтыр болды.
738,effect,I added sugar to the coffee.,The coffee smelled strong.,The coffee tasted sweet.,2,Мен кофеге қант қостым.,Кофе мықты иісі болды.,Кофе тәтті болды.
739,effect,The man shuffled through the papers.,He got a paper cut.,He shredded the papers.,1,Ер адам қағаздармен араласты.,Ол қағазды кесіп алды.,Ол қағаздарды ұсақтады.
740,effect,I pounded the nail with the hammer.,The nail sunk into the wood.,The nail became rusty.,1,Мен тырнақты балғамен ұрдым.,Тырнақ ағашқа батып кетті.,Тырнақ тот басқан.
741,effect,The fish bit the line.,The fisherman reeled in the fish.,The fisherman recast the line.,1,Балық сызығын бит.,Балықшы балыққа оралған.,Балықшы сызықты қайта қойды.
742,cause,The teenager was embarrassed to go to school.,She got a pimple.,She got her braces off.,1,Жасөспірім мектепке баруға ұялды.,Ол безеуді алды.,Ол оның бөренелерін шешіп алды.
743,cause,My facial expression lit up.,I received good news.,I lost my patience.,1,Менің бет-әлпетім жанып тұр.,Мен ізгі хабар алдым.,Мен шыдамдылығымды жоғалттым.
744,cause,I wiped my hands with a towel.,The towel was wet.,My hands were wet.,2,Мен қолымды сүлгімен сүрттім.,Сүлгі дымқыл болды.,Қолдарым дымқыл болды.
745,cause,The man lost his balance on the stool.,The stool wobbled underneath him.,He spilled paint on the stool.,1,Ер адам нәжістегі тепе-теңдігін жоғалтты.,Нәжісі оның астына түсіп кетті.,Ол нәжісте бояуды төгіп тастады.
746,cause,The teammates directed blame at each other.,They lost their game.,Their coach cancelled practice.,1,Командалар бір-біріне кінәлі деп атады.,Олар өз ойынынан айырылды.,Олардың жаттықтырушысы тәжірибеден бас тартты.
747,cause,I asked for forgiveness.,I regretted my mistake.,I achieved my goal.,1,Мен кешіруді сұрадым.,Мен қателескеніме өкінемін.,Мен мақсатыма қол жеткіздім.
748,cause,The woman became bored with her date.,He asked her questions about herself.,He talked incessantly about himself.,2,Әйел өз күнімен қиналды.,Ол өзіне қатысты сұрақтардан сұрады.,Ол өзі туралы ойланбады.
749,effect,The girl flashed a smile.,Her cheeks reddened.,Her dimples showed.,2,Қыз күлімсіреді.,Оның щектері қызарады.,Оның қаржалары көрсетті.
750,cause,The enemy ship blew up.,It passed over the mine.,It sailed into the harbor.,1,Жаудың кемені жарылды.,Ол шахтадан өтті.,Ол айлаққа жүзіп кетті.
751,cause,The man punctured his foot.,He walked into a puddle.,He stepped on broken glass.,2,Ер адам аяғын тесіп өтті.,Ол шұңқырға кірді.,Ол сынған әйнекке кетті.
752,effect,The detectives dusted the crime scene for fingerprints.,They discovered the identity of the murderer.,They found the weapon at the crime scene.,1,Детективтер саусақ іздеріне арналған қылмыс орнын шаңдады.,Олар кісі өлтірушінің жеке басын анықтады.,Олар қару-жарақты қылмыс орнында тапты.
753,effect,There was a lot of traffic on the highway.,I took a detour.,I asked for a ride.,1,Тас жолда көптеген трафик болды.,Мен айналма жол алдым.,Мен сапар сұрадым.
754,effect,The nation's economy declined.,Many people got sick.,Many people faced unemployment.,2,Ұлт экономикасы төмендеді.,Көптеген адамдар ауырды.,Көптеген адамдар жұмыссыздыққа тап болды.
755,cause,The crossing guard blew her whistle at the children.,They were about to walk into oncoming traffic.,She recognized them from her neighborhood.,1,Өткізу күзетшісі балаларында ысқырады.,Олар келе жатқан трафикке кірмекші болды.,Ол оларды өзінің төңірегінен білді.
756,cause,I rolled my eyes at my friend.,He told me the truth.,He made a sarcastic remark.,2,Мен досыма көзімді жұмдым.,Ол маған шындықты айтты.,Ол саркатикалық ескерту жасады.
757,effect,The car ran out of gas.,The driver was stranded on the road.,The driver picked up a hitchhiker.,1,Көлік газдан шығып кетті.,Жүргізуші жолда құлады.,Жүргізуші гитчикді алды.
758,effect,The woman went into labor.,The baby was delivered.,The woman had morning sickness.,1,Әйел еңбекке кірді.,Бала жеткізілді.,Әйелдің таңертеңгі ауруы болды.
759,cause,The man's hat blew away.,He took off the hat.,It was windy outside.,2,Ер адамның шляпасы жарылды.,Ол шляпаны шешіп алды.,Ол сыртта желді болды.
760,cause,The girl attended her classmate's birthday party.,She received an invitation.,She bought a gift.,1,Қыз сыныптастарының туған күніне қатысты.,Ол шақыру алды.,Ол сыйлық сатып алды.
761,effect,The boy's forehead felt hot.,His mother took his temperature.,His mother took him to the park.,1,Бала маңдайы ыстық сезінді.,Анасы температурасын алды.,Анасы оны саябаққа апарды.
762,cause,The man sprayed himself with cologne.,He wanted to impress his date.,He put gel in his hair.,1,Ер адам өзін әтірмен себеді.,Ол өзінің күнін таңдандырғысы келді.,Ол гельді шашқа салды.
763,effect,The electricity in the house shut off.,I looked for a flashlight.,I picked up a shovel.,1,Үйдегі электр қуаты өшеді.,Мен шамды іздедім.,Мен күрек алдым.
764,cause,The family moved into a bigger house.,The son graduated from high school.,The mother gave birth to twins.,2,Отбасы үлкен үйге көшті.,Ұлы орта мектепті бітірген.,Анасы егіздерді дүниеге әкелді.
765,cause,The marathoner kept at a slow pace.,She wanted to conserve her energy.,She saw the finish line.,1,Марафонер баяу қарқынмен жүрді.,Ол өз энергиясын сақтағысы келді.,Ол мәре сызығын көрді.
766,cause,The boy kicked the vending machine.,The machine spit out the change.,The bag of chips was stuck.,2,Бала сауда машинасын тепті.,Құрылғы өзгерісті жоққа шығарады.,Чиптер сөмкесі жабысып қалды.
767,effect,My friend's dog died.,I rolled my eyes at him.,I gave him a hug.,2,Менің досымның иті қайтыс болды.,Мен оған көз жұмдым.,Мен оған құшақтадым.
768,effect,The businessman's credit card got declined.,He wrote an IOU.,He paid with cash.,2,Кәсіпкердің несие картасы төмендеді.,Ол Йу жазды.,Ол қолма-қол ақшамен төлеген.
769,cause,The man cursed.,He clipped his nails.,He stubbed his toe.,2,Ер адам қарғыс айтты.,Ол тырнақтарын қиды.,Ол саусақтарын қыстырды.
770,cause,The man felt proud of his brother.,His brother got in an argument with their parents.,His brother got accepted into law school.,2,Ер адам өз ағасын мақтан тұтты.,Оның ағасы ата-аналарымен келісіп алды.,Оның ағасы заң мектебіне қабылданды.
771,effect,The girl wanted to learn about the solar system.,She went to the library.,She looked at the stars.,1,Қыз күн жүйесі туралы білгісі келді.,Кітапханаға барды.,Ол жұлдыздарға қарады.
772,cause,The poster stuck to the wall.,I positioned the poster above the door.,I put tape on the back of the poster.,2,Постер қабырғаға жабысып қалды.,Мен есіктің үстіндегі плакатты орналастырдым.,Мен постердің артына таспаны қойдым.
773,effect,The client approved the architect's plans for the building.,The architect constructed the building.,The architect adjusted the plans.,1,Клиент сәулетшінің ғимарат жоспарларын бекітті.,Сәулетші ғимаратты салды.,Сәулетші жоспарларды реттеді.
774,cause,The man dropped his spoon.,His hand was shaking.,He licked the spoon.,1,Ер адам қасығын тастады.,Оның қолы дірілдеп тұрды.,Ол қасықты жалап алды.
775,effect,The CEO of the company resigned.,The board of directors dissolved the company.,The board of directors found his replacement.,2,Компанияның бас директоры отставкаға кетті.,Директорлар кеңесі компанияны таратады.,Директорлар кеңесі оның орнын толтыруды тапты.
776,effect,I arrived late to the lecture.,I took a seat in the back row.,I approached the podium.,1,Мен дәріске кешігіп келдім.,Мен артқы қатарға отырдым.,Мен подиумға жүгіндім.
777,cause,The man was released from jail.,His family paid his bail.,He attacked a fellow inmate.,1,Ер адам түрмеден босатылды.,Оның отбасы кепілдік төледі.,Ол сотталушыға шабуыл жасады.
778,cause,The family lost all their belongings.,They sold their house.,Their house caught fire.,2,Отбасы барлық заттарын жоғалтты.,Олар үйлерін сатты.,Олардың үйі өртенді.
779,effect,I stomped on the aluminum can.,The can was recycled.,The can got crushed.,2,Мен алюминийге жиналдым.,Қайта өңделді.,Ұсақталған болуы мүмкін.
780,effect,The girl joined the debate team.,She learned to use a computer.,She learned communication skills.,2,Қыз дәрігер құрамына кірді.,Ол компьютерді қолдануды үйренді.,Ол қарым-қатынас дағдыларын үйренді.
781,cause,My mood improved.,I listened to music.,I did the dishes.,1,Менің көңіл-күйім жақсарды.,Мен музыка тыңдадым.,Мен ыдыстарды жасадым.
782,effect,The charity made a goal to raise money.,They fed the homeless.,They held an auction.,2,Қайырымдылық ақша жинауды мақсат етті.,Олар үйсіздерді тамақтандырды.,Олар аукцион өткізді.
783,effect,The roller coaster plunged down the steep drop.,The passengers giggled.,The passengers screamed.,2,Роликтің коэффициенті тік тамшыдан құлады.,Жолаушылар ұрылды.,Жолаушылар айқайлады.
784,effect,I was furious.,I checked the mailbox upon leaving the house.,I slammed the door upon leaving the house.,2,Мен ашуландым.,Мен үйден шыққан кезде пошта жәшігін тексердім.,Мен үйден шыққаннан кейін есікті ұрдым.
785,effect,The man wanted to watch the sunrise.,He travelled north.,He got up early.,2,Ер адам күннің шығуын көргісі келді.,Солтүстікке саяхаттады.,Ол ерте тұрды.
786,effect,I folded the paper.,I recycled the paper.,The paper creased.,2,Мен қағазды жинадым.,Мен қағазды қайта өңдедім.,Қағаз қыдырды.
787,effect,The nation endured a natural disaster.,Leaders of other countries formed an alliance.,Leaders of other countries sent emergency relief.,2,Ұлт табиғи апатқа төтеп берді.,Басқа елдердің көшбасшылары одақ құрды.,Басқа елдердің көшбасшылары апаттық көмек жіберді.
788,cause,The boy's clothes got soaked.,He climbed out of the pool.,He fell into the pool.,2,Баланың киімдері малынған.,Ол бассейннен шығып кетті.,Ол бассейнге құлады.
789,cause,The student rushed to finish the book.,It was due to be returned to the library.,He borrowed it from a friend.,1,Студент кітапты аяқтауға асықты.,Кітапханаға қайтарылу керек еді.,Ол оны досымнан алды.
790,cause,The criminal was executed.,He was thrown in jail.,He was convicted of murder.,2,Қылмыскер орындалды.,Ол түрмеде лақтырылды.,Ол кісі өлтіруге сотталды.
791,cause,Sunlight entered the room.,I opened the curtains.,I unlocked the door.,1,Күн сәулесі бөлмеге кірді.,Мен перделерді аштым.,Мен есікті аштым.
792,effect,I yanked the imposter's hair.,Her wig came off.,She went bald.,1,Мен имоционалды шашты байладым.,Оның париктері сөніп қалды.,Ол таз болды.
793,cause,The editor reworded a sentence in the manuscript.,He found the manuscript compelling.,He deemed the sentence unclear.,2,Редактор қолжазбадағы сөйлемді қайта жазды.,Ол қолжазбаны тапты.,Ол сөйлемді түсініксіз деп санады.
794,cause,The woman cancelled her credit card account.,She realized the card was missing.,She realized the card was expired.,1,Әйел несие картасының шотын алып тастады.,Ол картаны жоқ деп түсінді.,Ол карточканы іске асырғанын түсінді.
795,effect,The man and woman fell in love.,They attended college.,They got married.,2,Ер адам мен әйел ғашық болды.,Олар колледжге қатысты.,Олар үйленді.
796,effect,The music was too faint to hear.,I turned up the volume.,I composed my own song.,1,Музыка тыңдауға тым естілді.,Мен көлемді бұрдым.,Мен өзімнің әнімді жаздым.
797,cause,The boy's hair was sticking up.,The girl ruffled it.,The girl pulled it.,1,Бала шаштары жабысып тұрды.,Қыз оны ұрды.,Қыз оны тартып алды.
798,cause,The bug got squashed.,I sprayed myself with bug repellent.,I stepped on the bug.,2,Қате қысылды.,Мен өзімді қателестім.,Мен қатеге тоқтаттым.
799,cause,I opened my eyes.,I woke up.,I relaxed.,1,Мен көзімді аштым.,Мен ояндым.,Мен босаңсым.
800,effect,My neighbor's music was blaring.,I asked him to turn it down.,I asked to borrow the CD from him.,1,Менің көршімнің музыкасы жарылды.,Мен одан оны бұруды өтіндім.,Мен одан CD-ді одан қарыз алуды өтіндім.
801,cause,The man's family lived in poverty.,He was frugal with his earnings.,He earned below minimum wage.,2,Ер адамның отбасы кедейлікте тұрды.,Ол өзінің табысымен айналысқан.,Ол ең төменгі жалақыдан төмен түскен.
802,effect,The student graduated from the university.,He looked for a job.,He took up a hobby.,1,Студент университетті бітірді.,Ол жұмыс іздеді.,Ол хобби алды.
803,effect,The artist mixed yellow paint into blue paint.,The paint splattered everywhere.,The paint turned green.,2,Суретші сары бояуды көк бояуға араластырды.,Бояу барлық жерде шашыратылды.,Бояу жасыл түсті.
804,cause,I changed the topic of conversation.,I ran out of things to talk about.,The conversation became tense.,2,Мен сөйлесу тақырыбын өзгерттім.,Мен сөйлесу үшін заттардан жүгірдім.,Әңгіме шиеленісті болды.
